nameOfIssuer,cusip,value,shares,sshPrnamtType,putCall,investmentDiscretion,otherManager,soleVotingAuthority,sharedVotingAuthority,noneVotingAuthority
VANGUARD REAL ESTATE ETF,922908553,2213,19076,SH,,SOLE,,0,0,19076
ESSEX PPTY TR INC COM,297178105,239,680,SH,,SOLE,,0,0,680
INTEL CORP COM,458140100,1556,30229,SH,,SOLE,,0,0,30229
CME GROUP INC COM,12572Q105,1125,4926,SH,,SOLE,,0,0,4926
MEDTRONIC PLC SHS,G5960L103,989,9569,SH,,SOLE,,0,0,9569
NETFLIX INC COM,64110L106,468,778,SH,,SOLE,,0,0,778
PAYCHEX INC COM,704326107,1064,7799,SH,,SOLE,,0,0,7799
MEDICAL PPTYS TRUST INC COM,58463J304,795,33665,SH,,SOLE,,0,0,33665
LAUDER ESTEE COS INC CL A,518439104,452,1222,SH,,SOLE,,0,0,1222
MERCK CO INC COM,58933Y105,3969,51789,SH,,SOLE,,0,0,51789
ISHARES SHORT TERM NATIONAL MUNI BOND ETF,464288158,245,2285,SH,,SOLE,,0,0,2285
SPDR S P 500 ETF,78462F103,1704,3588,SH,,SOLE,,0,0,3588
MASTERCARD INCORPORATED CL A,57636Q104,2285,6359,SH,,SOLE,,0,0,6359
EMERSON ELEC CO COM,291011104,353,3803,SH,,SOLE,,0,0,3803
YUM CHINA HLDGS INC COM,98850P109,203,4083,SH,,SOLE,,0,0,4083
ALLSTATE CORP COM,020002101,1466,12466,SH,,SOLE,,0,0,12466
LAMB WESTON HLDGS INC COM,513272104,1103,17403,SH,,SOLE,,0,0,17403
ISHARES TIPS BOND ETF,464287176,416,3223,SH,,SOLE,,0,0,3223
CORNING INC COM,219350105,721,19388,SH,,SOLE,,0,0,19388
BANK NEW YORK MELLON CORP COM,064058100,264,4548,SH,,SOLE,,0,0,4548
VERIZON COMMUNICATIONS INC COM,92343V104,5674,109201,SH,,SOLE,,0,0,109201
FEDEX CORP COM,31428X106,1994,7712,SH,,SOLE,,0,0,7712
SHERWIN WILLIAMS CO COM,824348106,7543,21420,SH,,SOLE,,0,0,21420
PEPSICO INC COM,713448108,5201,29945,SH,,SOLE,,0,0,29945
KIMBERLY CLARK CORP COM,494368103,385,2698,SH,,SOLE,,0,0,2698
TE CONNECTIVITY LTD SHS,H84989104,1985,12304,SH,,SOLE,,0,0,12304
HONEYWELL INTL INC COM,438516106,8734,41888,SH,,SOLE,,0,0,41888
HOME DEPOT INC COM,437076102,21334,51406,SH,,SOLE,,0,0,51406
AUTOMATIC DATA PROCESSING INC COM,053015103,434,1761,SH,,SOLE,,0,0,1761
BIOMARIN PHARMACEUTICAL INC ,09061GAH4,130,125000,SH,,SOLE,,0,0,125000
DISH NETWORK CORPORATION ,25470MAB5,66,71000,SH,,SOLE,,0,0,71000
HEALTH CARE SELECT SECTOR SPDR FUND,81369Y209,2096,14883,SH,,SOLE,,0,0,14883
VERISK ANALYTICS INC COM,92345Y106,3242,14174,SH,,SOLE,,0,0,14174
SOUTHERN CO COM,842587107,341,4976,SH,,SOLE,,0,0,4976
SCHWAB US LARGE CAP ETF,808524201,217,1911,SH,,SOLE,,0,0,1911
WHIRLPOOL CORP COM,963320106,839,3576,SH,,SOLE,,0,0,3576
CONSUMER STAPLES SELECT SECTOR SPDR FUND,81369Y308,1294,16790,SH,,SOLE,,0,0,16790
ISHARES S P SMALL CAP FUND,464287804,333,2910,SH,,SOLE,,0,0,2910
BERKSHIRE HATHAWAY INC DEL CL B NEW,084670702,1660,5554,SH,,SOLE,,0,0,5554
NICE SYS INC ,65366HAB9,193,53000,SH,,SOLE,,0,0,53000
ADOBE SYSTEMS INCORPORATED COM,00724F101,5497,9695,SH,,SOLE,,0,0,9695
VANGUARD SHORT TERM CORPORATE BOND INDEX FUND,92206C409,553,6817,SH,,SOLE,,0,0,6817
VANECK HIGH YIELD MUNI ETF,92189H409,912,14621,SH,,SOLE,,0,0,14621
ALPHABET INC CAP STK CL A,02079K305,13041,4501,SH,,SOLE,,0,0,4501
VIAVI SOLUTIONS INC ,925550AB1,50,36000,SH,,SOLE,,0,0,36000
PACIRA BIOSCIENCES INC ,695127AD2,38,38000,SH,,SOLE,,0,0,38000
FISERV INC COM,337738108,1479,14252,SH,,SOLE,,0,0,14252
OREILLY AUTOMOTIVE INC COM,67103H107,5386,7627,SH,,SOLE,,0,0,7627
LUMENTUM HLDGS INC 0.25 03/15/2024,55024UAB5,157,89000,SH,,SOLE,,0,0,89000
CONSTELLATION BRANDS INC CL A,21036P108,6515,25962,SH,,SOLE,,0,0,25962
CSX CORP COM,126408103,520,13851,SH,,SOLE,,0,0,13851
COMCAST CORP NEW CL A,20030N101,7595,150919,SH,,SOLE,,0,0,150919
MICROSOFT CORP COM,594918104,36153,107496,SH,,SOLE,,0,0,107496
NEUROCRINE BIOSCIENCES INC ,64125CAD1,67,54000,SH,,SOLE,,0,0,54000
SCHLUMBERGER LTD COM STK,806857108,277,9270,SH,,SOLE,,0,0,9270
CVS HEALTH CORP COM,126650100,1761,17072,SH,,SOLE,,0,0,17072
LENDINGTREE INC,52603BAA5,18,18000,SH,,SOLE,,0,0,18000
COMMUNICATION SERVICES SELECT SECTOR SPDRA FUND,81369Y852,2783,35834,SH,,SOLE,,0,0,35834
V F CORP COM,918204108,237,3243,SH,,SOLE,,0,0,3243
AVERY DENNISON CORP COM,053611109,747,3453,SH,,SOLE,,0,0,3453
BERKSHIRE HATHAWAY INC DEL CL A,084670108,901,2,SH,,SOLE,,0,0,2
MARRIOTT VACATIONS WORLDWIDE C ,57164YAB3,46,38000,SH,,SOLE,,0,0,38000
BOEING CO COM,097023105,1344,6677,SH,,SOLE,,0,0,6677
WORKDAY INC ,98138HAF8,100,54000,SH,,SOLE,,0,0,54000
VANGUARD SMALL CAP INDEX FUND,922908751,556,2463,SH,,SOLE,,0,0,2463
VANGUARD MID CAP INDEX FUND,922908629,435,1709,SH,,SOLE,,0,0,1709
NEXTERA ENERGY INC COM,65339F101,10840,116112,SH,,SOLE,,0,0,116112
NIKE INC CL B,654106103,6865,41191,SH,,SOLE,,0,0,41191
TESLA INC COM,88160R101,5019,4750,SH,,SOLE,,0,0,4750
LINDE PLC SHS,G5494J103,329,951,SH,,SOLE,,0,0,951
FINANCIAL SELECT SECTOR SPDR FUND,81369Y605,303,7783,SH,,SOLE,,0,0,7783
NORFOLK SOUTHN CORP COM,655844108,213,718,SH,,SOLE,,0,0,718
HARLEY DAVIDSON INC COM,412822108,201,5348,SH,,SOLE,,0,0,5348
SCHWAB U.S. TIPS ETF,808524870,212,3371,SH,,SOLE,,0,0,3371
AMDOCS LTD SHS,G02602103,2298,30709,SH,,SOLE,,0,0,30709
PATRICK INDS INC ,703343AB9,80,71000,SH,,SOLE,,0,0,71000
VANGUARD S P 500 ETF,922908363,447,1024,SH,,SOLE,,0,0,1024
ILLUMINA INC COM,452327109,3225,8479,SH,,SOLE,,0,0,8479
AKAMAI TECHNOLOGIES INC ,00971TAJ0,70,54000,SH,,SOLE,,0,0,54000
NRG ENERGY INC ,629377CG5,62,53000,SH,,SOLE,,0,0,53000
HUNTINGTON BANCSHARES INC COM,446150104,178,11544,SH,,SOLE,,0,0,11544
